UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";1;1;2;-;1;-;3;-;2;-;-;1;11
"AC";1;1;-;-;1;1;1;-;-;-;1;-;6
"AM";1;1;2;2;1;1;2;1;-;-;-;-;11
"PA";3;2;1;1;2;1;1;1;-;-;1;-;13
"AP";-;-;-;1;-;-;1;-;-;-;-;-;2
"TO";-;-;1;-;-;-;-;-;1;-;1;-;3
"MA";2;4;2;-;4;-;-;3;1;2;-;-;18
"PI";3;4;2;2;1;1;2;-;1;-;1;-;17
"CE";-;-;-;1;2;1;-;3;1;-;-;-;8
"RN";-;1;3;-;-;-;-;1;2;1;1;-;9
"PB";1;3;3;1;3;1;2;2;-;-;4;1;21
"PE";1;2;7;7;12;5;12;4;6;3;1;-;60
"AL";2;-;1;1;-;1;-;-;1;-;2;1;9
"SE";2;-;3;4;1;-;1;-;-;-;-;-;11
"BA";6;-;1;1;6;4;2;4;7;4;3;3;41
"MG";2;1;3;1;1;3;5;2;-;2;5;2;27
"ES";-;-;1;-;-;-;1;-;1;-;-;-;3
"RJ";3;2;1;1;3;2;3;1;3;6;4;2;31
"SP";11;5;8;7;6;6;6;11;9;5;7;5;86
"PR";2;3;-;2;3;1;2;5;4;3;6;4;35
"SC";-;2;-;-;2;-;1;-;2;-;-;-;7
"RS";4;3;-;2;3;3;1;2;-;2;1;2;23
"MS";1;1;-;-;-;-;-;-;-;-;-;-;2
"MT";-;-;1;-;-;1;-;-;1;-;-;-;3
"GO";1;-;-;1;3;-;1;2;1;1;2;-;12
"DF";-;1;-;1;-;1;1;2;2;2;-;-;10
"Total";47;37;42;36;55;33;48;44;45;31;40;21;479
