UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";-;-;-;-;-;1;1;-;1;-;1;-;4
"AC";-;-;2;-;1;-;-;-;-;-;-;-;3
"AM";1;1;2;2;1;7;2;4;-;1;1;3;25
"PA";1;1;1;2;4;1;1;2;-;1;-;-;14
"TO";-;1;-;-;1;1;-;1;-;-;-;-;4
"MA";-;4;4;4;5;4;4;-;2;2;1;1;31
"PI";2;2;1;3;-;1;-;1;3;-;1;1;15
"CE";1;-;2;1;2;4;3;1;-;1;-;-;15
"RN";1;1;1;2;-;1;4;1;2;2;-;-;15
"PB";4;3;2;1;-;1;-;2;5;-;-;3;21
"PE";3;7;3;6;4;6;-;9;6;3;4;1;52
"AL";-;-;1;2;2;-;-;1;1;1;1;1;10
"SE";4;-;1;1;-;-;1;1;1;-;2;-;11
"BA";2;3;4;4;4;1;1;4;5;2;-;2;32
"MG";2;4;2;4;6;5;5;3;1;4;5;2;43
"ES";-;-;-;-;-;-;-;-;-;1;2;2;5
"RJ";1;1;1;1;3;-;3;-;1;2;1;1;15
"SP";10;2;4;5;8;6;5;2;10;11;4;5;72
"PR";1;1;5;2;4;1;1;-;2;3;2;4;26
"SC";-;-;-;4;1;-;2;-;1;4;-;1;13
"RS";1;1;2;1;7;3;5;4;2;6;2;1;35
"MS";-;1;-;-;-;1;-;-;-;-;-;1;3
"MT";-;-;-;-;1;-;-;-;-;-;-;-;1
"GO";1;-;-;2;-;1;2;2;-;-;-;1;9
"DF";-;-;-;-;-;1;1;-;4;3;1;-;10
"Total";35;33;38;47;54;46;41;38;47;47;28;30;484
