UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";2;-;-;-;-;-;-;-;1;-;1;1;5
"AC";-;-;-;-;1;1;-;-;-;1;-;-;3
"AM";2;-;1;4;1;1;4;1;2;1;-;3;20
"PA";1;-;1;1;2;1;3;1;-;-;1;-;11
"AP";-;-;-;-;-;-;-;2;-;-;-;1;3
"TO";-;-;2;-;1;1;-;-;-;2;1;2;9
"MA";4;-;3;2;3;1;2;2;2;2;1;-;22
"PI";1;-;-;-;3;2;1;4;-;-;-;-;11
"CE";-;1;1;-;-;1;-;-;-;-;-;1;4
"RN";-;2;-;-;2;1;-;1;3;-;-;3;12
"PB";1;1;4;-;-;1;2;1;1;3;4;-;18
"PE";8;3;4;6;5;3;5;3;5;4;6;10;62
"AL";-;1;-;1;6;1;-;-;3;1;-;-;13
"SE";-;1;2;1;-;1;-;-;1;-;1;2;9
"BA";1;3;2;2;1;6;10;1;1;5;2;1;35
"MG";1;4;1;1;1;6;5;5;6;3;5;2;40
"ES";-;1;-;2;-;-;-;-;-;-;-;1;4
"RJ";2;1;2;1;1;4;1;2;1;1;4;1;21
"SP";10;8;7;7;5;3;3;9;2;5;8;9;76
"PR";3;4;3;4;3;2;1;3;5;7;3;3;41
"SC";1;-;-;1;1;-;-;-;-;-;-;-;3
"RS";6;3;3;1;-;4;-;5;1;1;1;1;26
"MS";-;-;1;1;1;-;2;-;-;-;-;-;5
"MT";-;-;-;-;-;-;-;1;1;-;-;2;4
"GO";2;1;-;-;1;1;-;2;-;1;1;1;10
"DF";-;1;1;-;1;2;1;-;1;1;-;-;8
"Total";45;35;38;35;39;43;40;43;36;38;39;44;475
