UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";-;-;-;-;-;1;3;-;-;-;-;2;6
"AC";1;-;-;-;-;1;1;-;-;-;-;-;3
"AM";1;1;-;6;4;2;1;2;1;1;-;1;20
"RR";-;-;1;-;-;-;-;-;-;-;-;-;1
"PA";2;2;3;4;-;2;-;1;-;-;-;1;15
"AP";1;1;-;1;-;-;-;-;1;1;-;-;5
"TO";-;-;-;-;-;2;-;-;-;-;-;-;2
"MA";-;3;1;1;1;4;3;1;1;2;1;1;19
"PI";1;3;2;3;-;2;-;1;-;1;1;-;14
"CE";1;1;-;-;-;-;-;-;-;-;-;-;2
"RN";-;-;2;2;2;2;-;1;-;-;1;-;10
"PB";1;3;1;-;1;-;1;1;-;-;-;-;8
"PE";2;4;3;3;12;13;15;-;4;7;2;-;65
"AL";1;4;1;1;-;-;1;-;-;-;-;-;8
"SE";1;3;1;3;1;1;1;2;3;1;2;1;20
"BA";4;2;2;4;5;3;3;2;1;2;1;1;30
"MG";5;6;9;7;5;2;2;3;1;3;4;6;53
"ES";-;-;-;-;-;-;-;-;2;-;1;-;3
"RJ";4;6;5;4;3;5;2;2;1;1;2;-;35
"SP";4;5;7;5;4;6;5;8;3;4;5;7;63
"PR";4;-;2;4;1;6;5;2;2;2;1;5;34
"SC";2;1;4;2;1;2;-;2;2;1;1;-;18
"RS";1;1;2;2;3;3;3;2;5;5;5;4;36
"MS";1;1;1;-;-;-;-;-;-;-;-;-;3
"MT";-;2;-;2;-;-;-;-;-;-;-;-;4
"GO";1;1;2;-;-;-;1;-;-;2;2;3;12
"DF";1;-;2;-;-;2;-;-;-;-;-;-;5
"Total";39;50;51;54;43;59;47;30;27;33;29;32;494
