UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";2;-;1;6;2;2;1;-;-;2;4;-;20
"AC";1;2;-;-;-;-;2;-;-;-;-;-;5
"AM";2;1;2;2;2;-;2;3;2;-;-;-;16
"RR";-;-;-;-;-;-;-;2;-;-;-;-;2
"PA";2;-;-;-;1;2;3;-;1;1;1;-;11
"AP";1;1;-;-;1;1;-;1;1;1;-;-;7
"TO";2;1;1;-;-;-;1;-;-;1;-;1;7
"MA";-;-;1;4;2;3;1;1;1;-;-;1;14
"PI";2;1;3;1;4;6;2;2;1;2;1;2;27
"CE";-;2;4;1;2;6;3;3;-;-;2;1;24
"RN";1;1;3;1;-;1;-;2;-;-;-;-;9
"PB";1;1;-;3;1;-;2;2;3;1;3;5;22
"PE";-;3;2;3;3;2;2;-;2;1;2;2;22
"AL";-;1;1;1;1;3;-;3;1;1;-;-;12
"SE";1;-;1;-;2;1;5;1;1;-;-;1;13
"BA";2;2;5;2;-;9;1;3;-;1;1;-;26
"MG";5;3;3;5;4;8;2;8;7;4;6;2;57
"ES";1;-;1;1;1;1;-;2;-;2;1;2;12
"RJ";1;-;1;1;-;1;1;-;-;-;-;-;5
"SP";7;6;9;2;8;4;1;10;7;1;5;3;63
"PR";1;6;3;2;4;1;1;2;2;2;2;1;27
"SC";-;1;1;3;-;1;-;1;1;1;1;-;10
"RS";2;-;3;-;1;3;1;-;1;3;3;-;17
"MS";-;-;1;1;-;-;-;-;2;1;-;2;7
"MT";1;-;1;1;-;1;-;-;-;1;1;-;6
"GO";2;-;1;-;-;-;-;1;1;2;6;-;13
"DF";-;-;1;1;1;1;1;1;3;-;-;-;9
"Total";37;32;49;41;40;57;32;48;37;28;39;23;463
