UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";-;-;-;-;1;-;-;-;-;1;-;-;2
"AC";1;1;-;-;-;-;-;1;-;-;-;1;4
"AM";3;5;3;-;1;5;3;3;2;1;1;2;29
"RR";-;-;-;-;-;-;-;-;1;-;-;-;1
"PA";-;3;-;1;1;1;4;1;1;3;-;1;16
"AP";1;-;-;-;-;-;-;1;-;-;-;-;2
"TO";-;-;-;1;2;-;-;1;-;-;1;1;6
"MA";-;2;4;2;-;7;1;-;-;3;-;4;23
"PI";2;2;1;1;3;-;4;-;1;-;1;-;15
"CE";2;-;-;-;4;2;-;-;2;1;2;-;13
"RN";1;1;2;-;2;-;1;5;-;1;2;-;15
"PB";-;1;1;-;2;2;1;2;1;2;-;1;13
"PE";1;2;8;10;14;7;4;4;5;1;-;3;59
"AL";-;1;-;-;-;-;-;2;-;1;-;-;4
"SE";-;-;3;2;-;1;-;2;5;9;1;1;24
"BA";2;-;2;4;1;1;-;2;2;3;5;2;24
"MG";6;3;5;5;4;1;1;2;1;1;3;2;34
"ES";-;-;2;-;-;1;-;-;-;-;-;-;3
"RJ";2;4;2;-;-;2;3;1;-;-;-;-;14
"SP";8;13;12;9;6;9;4;4;5;4;6;3;83
"PR";2;2;2;2;5;1;2;7;5;4;2;2;36
"SC";2;1;1;1;4;-;4;-;-;-;2;1;16
"RS";2;1;1;-;2;1;6;4;2;1;2;-;22
"MS";-;-;-;-;1;1;1;-;3;1;-;-;7
"MT";-;3;-;-;-;1;-;2;1;1;2;2;12
"GO";-;1;-;-;-;1;1;1;-;-;-;-;4
"DF";1;-;-;1;1;-;2;3;-;1;2;-;11
"Total";36;46;49;39;54;44;42;48;37;39;32;26;492
