UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";2;1;2;2;3;1;1;-;2;1;-;2;17
"AC";-;-;2;2;1;-;-;-;-;-;1;-;6
"AM";-;2;3;2;2;1;2;2;2;-;1;-;17
"PA";2;-;2;2;2;1;2;2;1;-;1;1;16
"AP";-;-;-;-;-;-;1;-;1;-;-;-;2
"MA";2;2;-;1;3;3;-;3;1;1;2;5;23
"PI";1;-;1;1;2;1;-;1;-;-;2;2;11
"CE";1;1;3;3;1;-;-;2;-;-;-;-;11
"RN";1;1;-;1;-;1;-;-;2;1;1;-;8
"PB";3;3;1;3;2;3;2;-;1;2;1;-;21
"PE";2;2;3;3;5;-;2;1;-;2;1;-;21
"AL";-;-;1;-;-;-;-;-;1;2;1;2;7
"SE";-;3;3;1;3;1;3;5;1;-;1;2;23
"BA";3;2;4;3;2;6;-;3;3;1;1;4;32
"MG";5;5;2;3;3;2;1;-;-;1;2;-;24
"ES";-;1;-;1;1;3;-;-;-;-;-;-;6
"RJ";1;-;-;2;1;4;1;2;4;-;2;-;17
"SP";6;6;6;9;3;7;3;4;6;4;6;8;68
"PR";-;2;1;3;1;-;2;2;2;-;3;3;19
"SC";-;2;1;1;1;2;3;1;-;1;1;1;14
"RS";2;1;1;-;2;3;5;-;2;4;4;1;25
"MS";-;1;-;-;1;2;1;1;1;-;-;-;7
"MT";-;1;-;1;2;1;-;-;-;-;-;-;5
"GO";1;4;1;-;1;1;-;1;3;1;-;-;13
"DF";1;4;1;2;3;2;4;-;-;-;-;-;17
"Total";33;44;38;46;45;45;33;30;33;21;31;31;430
