UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";-;-;-;-;2;2;-;4;1;1;1;-;11
"AM";4;3;2;2;3;1;1;-;2;1;2;-;21
"RR";-;-;-;-;-;-;-;-;-;-;-;1;1
"PA";-;2;2;1;-;2;2;1;-;2;1;2;15
"AP";-;-;-;-;1;-;1;-;-;-;-;-;2
"TO";-;2;-;-;-;1;1;1;-;-;1;-;6
"MA";3;4;2;3;4;4;2;5;1;4;1;-;33
"PI";2;-;4;1;-;-;-;-;1;-;1;-;9
"CE";3;3;-;2;2;-;3;3;-;1;-;3;20
"RN";2;-;3;-;-;1;4;1;2;1;-;2;16
"PB";-;-;1;3;4;-;-;6;-;-;3;1;18
"PE";-;5;5;7;9;9;2;8;7;8;2;2;64
"AL";-;-;-;1;-;1;-;-;-;-;2;1;5
"SE";1;3;-;1;1;1;1;-;-;2;-;-;10
"BA";2;1;7;2;1;1;1;2;4;-;5;1;27
"MG";2;3;3;-;3;1;3;6;4;3;6;2;36
"ES";-;1;-;-;1;-;-;1;1;-;1;-;5
"RJ";4;5;5;2;3;2;-;5;3;3;1;2;35
"SP";6;4;4;5;6;6;4;8;2;11;11;9;76
"PR";-;3;3;3;3;5;4;-;3;3;1;1;29
"SC";-;-;1;-;1;4;-;2;1;1;-;1;11
"RS";7;-;1;1;4;-;3;2;-;4;6;-;28
"MS";1;-;-;-;2;1;1;-;-;-;-;-;5
"MT";-;-;2;-;-;2;2;1;-;1;2;-;10
"GO";1;2;1;-;-;1;-;2;3;-;3;-;13
"DF";1;3;2;3;-;1;-;1;2;1;-;-;14
"Total";39;44;48;37;50;46;35;59;37;47;50;28;520
