UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";1;3;5;2;-;-;-;2;1;2;1;1;18
"AC";2;-;-;1;-;-;2;-;-;1;-;-;6
"AM";2;1;2;1;-;-;-;1;1;2;2;1;13
"PA";1;-;2;4;-;3;-;1;-;-;-;1;12
"AP";-;-;1;1;-;-;1;-;-;-;1;1;5
"MA";2;-;-;2;5;1;2;2;1;1;6;1;23
"PI";-;3;3;1;-;-;-;1;1;4;-;-;13
"CE";1;1;1;2;2;-;1;2;4;3;1;-;18
"RN";1;-;3;1;2;2;2;1;1;2;-;1;16
"PB";1;-;2;2;4;2;1;1;2;3;1;2;21
"PE";3;5;6;1;-;-;3;3;3;2;3;2;31
"AL";1;1;1;2;2;1;-;1;-;-;2;1;12
"SE";1;1;1;2;3;1;-;1;1;2;-;1;14
"BA";8;1;5;2;4;3;4;2;1;4;1;-;35
"MG";4;4;2;4;3;6;6;5;4;5;1;-;44
"ES";2;1;-;-;-;1;-;-;2;1;1;1;9
"RJ";3;-;2;3;4;4;-;1;2;5;2;-;26
"SP";8;5;6;14;3;14;6;10;8;7;5;4;90
"PR";-;-;-;-;3;-;3;1;1;2;-;1;11
"SC";1;1;1;-;3;1;2;3;1;2;1;1;17
"RS";3;3;4;1;2;3;2;4;4;2;1;-;29
"MS";2;3;-;-;-;-;-;-;2;-;-;-;7
"MT";1;-;-;-;-;4;-;2;-;-;-;-;7
"GO";3;4;-;1;2;1;-;4;1;-;-;1;17
"DF";1;3;2;1;3;3;1;1;1;1;1;2;20
"Total";52;40;49;48;45;50;36;49;42;51;30;22;514
