UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";-;1;1;-;3;1;1;3;3;1;3;1;18
"AC";4;2;1;-;2;1;1;-;-;-;-;1;12
"AM";2;1;2;2;-;1;2;2;1;2;-;-;15
"RR";-;-;-;1;-;-;-;-;3;-;-;-;4
"PA";-;2;1;2;2;5;3;2;1;1;-;5;24
"AP";-;-;-;2;-;-;3;2;-;-;-;-;7
"TO";-;-;1;1;1;-;1;2;-;2;1;-;9
"MA";1;1;2;-;2;4;3;3;-;-;-;1;17
"PI";1;1;-;-;2;2;2;3;4;2;-;1;18
"CE";3;4;-;-;4;12;1;3;-;-;1;-;28
"RN";1;-;2;-;1;2;2;3;-;-;-;-;11
"PB";2;-;2;-;1;1;2;-;-;2;-;1;11
"PE";5;4;3;1;4;5;4;1;-;1;1;1;30
"AL";1;2;1;2;-;2;1;1;1;-;-;-;11
"SE";1;-;-;1;1;-;-;2;4;1;-;1;11
"BA";3;5;2;8;5;4;7;8;-;9;4;2;57
"MG";5;7;5;2;5;10;2;7;5;9;4;-;61
"ES";-;-;3;1;-;-;1;3;-;1;1;-;10
"RJ";-;-;-;1;-;1;-;-;-;-;-;2;4
"SP";7;10;10;18;7;16;4;8;6;7;7;1;101
"PR";4;2;3;1;2;1;1;2;-;5;4;3;28
"SC";1;1;-;2;2;1;2;-;1;-;-;1;11
"RS";2;4;7;-;3;1;1;3;1;-;2;3;27
"MS";1;-;1;1;2;-;-;1;2;1;-;-;9
"MT";1;-;-;-;-;-;2;-;2;1;1;1;8
"GO";2;1;-;-;2;3;2;1;-;1;-;1;13
"DF";1;-;1;-;1;2;1;-;1;1;2;1;11
"Total";48;48;48;46;52;75;49;60;35;47;31;27;566
