UF;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
"RO";1;-;1;-;1;2;-;2;-;2;-;-;9
"AC";-;-;-;-;1;1;1;1;1;-;-;-;5
"AM";2;2;1;2;-;-;2;1;-;1;-;-;11
"RR";-;1;1;1;-;-;-;-;-;-;-;-;3
"PA";2;1;3;-;1;2;-;1;-;-;-;-;10
"AP";-;-;-;2;1;-;-;-;-;-;-;-;3
"TO";-;1;-;-;-;-;-;-;1;-;-;-;2
"MA";1;-;4;1;3;2;4;2;-;-;-;-;17
"PI";1;-;2;4;-;2;1;1;1;-;-;-;12
"CE";1;-;5;2;2;2;2;3;2;1;-;-;20
"RN";2;1;-;-;2;-;1;-;-;-;2;-;8
"PB";4;1;-;1;-;2;2;-;-;1;-;-;11
"PE";4;3;6;5;1;2;-;2;-;-;-;-;23
"SE";-;1;2;3;2;-;2;-;2;-;-;-;12
"BA";-;1;-;-;-;-;2;3;-;-;-;-;6
"MG";4;4;7;4;6;3;6;9;4;2;1;3;53
"ES";1;-;1;-;-;1;-;-;2;-;-;-;5
"RJ";2;3;1;2;3;2;1;1;-;-;-;1;16
"SP";4;10;6;6;6;6;5;1;3;-;-;-;47
"PR";2;4;2;4;2;3;-;4;-;2;-;-;23
"SC";-;-;-;-;-;3;1;2;3;-;-;-;9
"RS";-;-;-;-;-;1;-;1;-;1;-;-;3
"MS";-;-;-;1;1;1;2;-;2;-;-;-;7
"MT";-;-;1;2;1;5;-;1;1;-;-;-;11
"GO";2;1;2;2;3;3;1;1;3;-;-;-;18
"DF";-;-;-;1;2;-;1;3;3;-;-;-;10
"Total";33;34;45;43;38;43;34;39;28;10;3;4;354
